destAirport,avg_delay,median_delay,flight_count,delay_flight_count,total_delay,delay_rate,delay_rate_pct,distance_km,morning_total,morning_delay,morning_delay_ratio,机场名称,延误等级
ZUH,61.75,28.0,169,106,10436,0.63,63.0,803.0,29.0,8.0,27.6,珠海金湾,高度
CAN,61.53,11.0,74,30,4553,0.41,41.0,662.0,0.0,0.0,,广州白云,高度
SHE,56.13,20.0,143,81,8027,0.57,57.0,1606.0,31.0,13.0,41.9,沈阳桃仙,高度
HAK,54.7,33.0,212,129,11597,0.61,61.0,1127.0,0.0,0.0,,海口美兰,高度
HRB,47.47,18.0,93,51,4415,0.55,55.0,2072.0,0.0,0.0,,哈尔滨太平,高度
SYX,43.23,15.0,79,39,3415,0.49,49.0,1346.0,0.0,0.0,,三亚凤凰,高度
CTU,39.94,33.0,62,42,2476,0.68,68.0,1169.0,0.0,0.0,,成都双流,高度
PEK,34.38,13.0,151,74,5191,0.49,49.0,1249.0,29.0,11.0,37.9,北京首都,高度
SHA,31.84,15.0,32,15,1019,0.47,47.0,584.0,0.0,0.0,,上海虹桥,高度
TAO,30.84,15.0,175,82,5397,0.47,47.0,924.0,70.0,27.0,38.6,青岛胶东,高度
DLC,29.26,14.0,87,39,2546,0.45,45.0,1234.0,0.0,0.0,,大连周水子,中度
PKX,28.87,12.0,267,106,7709,0.4,40.0,1184.0,31.0,12.0,38.7,北京大兴,中度
NNG,26.9,9.0,125,51,3363,0.41,41.0,1040.0,11.0,1.0,9.1,南宁吴圩,中度
TFU,25.63,11.0,261,101,6689,0.39,39.0,1120.0,13.0,3.0,23.1,成都天府,中度
TYN,25.53,9.0,133,42,3396,0.32,32.0,1035.0,0.0,0.0,,TYN,中度
TSN,21.53,8.0,133,46,2864,0.35,35.0,1149.0,0.0,0.0,,天津滨海,中度
XIY,20.84,7.0,172,41,3585,0.24,24.0,920.0,31.0,3.0,9.7,西安咸阳,中度
HET,20.39,12.0,93,34,1896,0.37,37.0,1383.0,0.0,0.0,,HET,中度
KMG,19.77,7.0,261,65,5159,0.25,25.0,1350.0,53.0,4.0,7.5,昆明长水,轻微
CKG,16.46,4.0,181,37,2979,0.2,20.0,903.0,0.0,0.0,,重庆江北,轻微
KHN,0.0,0.0,8,0,0,0.0,0.0,0.0,0.0,0.0,,南昌昌北,准点
